api-gateway  | 2026-08-06T07:01:39.355Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431538250165541e3ac3eb9b55db2-41e3ac3eb9b55db2] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.356Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a743153b2a58c6d033e8cce70f1d884-033e8cce70f1d884] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.415Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431535eb9630616aea9eaaba6ee57-16aea9eaaba6ee57] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.416Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a74315338b871f5a22c9f92c8202773-a22c9f92c8202773] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.418Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a7431535ed692a7f7c5ad844d8350fc-f7c5ad844d8350fc] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.418Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743153d98b1bdace76a58c2434eb47-ce76a58c2434eb47] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.419Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a74315314e461e5705dc4d999e724f4-705dc4d999e724f4] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.419Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431535c1837dc07edfd12b85d0b00-07edfd12b85d0b00] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.419Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a7431530f82d131f66eda069b1f850c-f66eda069b1f850c] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.428Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a74315357071cd31333daf67b8dbddb-1333daf67b8dbddb] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.442Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743153e63e9319fc1e460d5d1df55d-fc1e460d5d1df55d] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.444Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431532b92ca01935b03ad1c403136-935b03ad1c403136] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.445Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a7431534d71a7d442ddf3ec0c196b05-42ddf3ec0c196b05] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.446Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a7431533add00cc90641a23d0c477ce-90641a23d0c477ce] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.449Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431531a688dda81e7fe45e0f33074-81e7fe45e0f33074] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.450Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315360b0221a5191de83e02a5d2f-5191de83e02a5d2f] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.461Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a7431531d6d825bb243c275dfc3975c-b243c275dfc3975c] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.462Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a7431539d529c0676d2787b4ab68e4f-76d2787b4ab68e4f] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.473Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743153b7157b70757672be48621aab-757672be48621aab] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.474Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431535e97ed0e20a71fee97087844-20a71fee97087844] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.475Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a743153ae0da14589bf2eed21cc87a1-89bf2eed21cc87a1] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.482Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431532c4972e4dfb805f2caded20b-dfb805f2caded20b] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.485Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743153c4f1856da6d65fbf94d3eb2f-a6d65fbf94d3eb2f] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.486Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a743153618b73a63812450c958b543e-3812450c958b543e] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.506Z  WARN 1 --- [api-gateway] [or-http-epoll-3] [6a743153d9937e02b5b9a0366b108a67-b5b9a0366b108a67] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.507Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a743153f2741a38c0d3368054e9967f-c0d3368054e9967f] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.512Z  WARN 1 --- [api-gateway] [or-http-epoll-5] [6a7431530818490520d8b6a5715645a5-20d8b6a5715645a5] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.516Z  WARN 1 --- [api-gateway] [or-http-epoll-4] [6a743153800ebd79585c12b58b8b7405-585c12b58b8b7405] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.516Z  WARN 1 --- [api-gateway] [or-http-epoll-2] [6a743153e5efdc78a08c252aeb710f64-a08c252aeb710f64] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.526Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315394d89a1c6ce281b24b33f9d3-6ce281b24b33f9d3] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.526Z  WARN 1 --- [api-gateway] [or-http-epoll-6] [6a74315334a62fa8e4a1555289b34d57-e4a1555289b34d57] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.540Z  WARN 1 --- [api-gateway] [or-http-epoll-7] [6a74315318c897db6e507584caf802a0-6e507584caf802a0] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.559Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a74315394ec9efca930575050155078-a930575050155078] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.575Z  WARN 1 --- [api-gateway] [or-http-epoll-8] [6a743153fe0b6ef6cfdde1547dc20650-cfdde1547dc20650] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
api-gateway  | 2026-08-06T07:01:39.596Z  WARN 1 --- [api-gateway] [or-http-epoll-1] [6a7431532f03d0c4f82a0f5d61c78f86-f82a0f5d61c78f86] o.s.c.l.core.RoundRobinLoadBalancer      : No servers available for service: customers-service
